Units,Optimizer,Dropout,Train Acc,Train Loss,Val Acc,Val Loss,Test Acc,Test Loss,Test Time,,,,,
512,sgd,0.1,90.69%,0.22,91.49%,0.1881,90.89%,0.2080,0.2113,,,,,
700,adam,0.2,90.67%,0.2289,90.70%,0.1998,90.89%,0.2050,0.1639,,,,,
512,sgd,0.15,90.52%,0.2224,91.34%,0.193,90.84%,0.2160,0.2157,,,,,
512,adam,0.25,89.65%,0.254,91.88%,0.1946,90.79%,0.2490,0.2085,,,,,
512,nadam,0.15,91.79%,0.1976,92.56%,0.1885,90.79%,0.2222,0.2088,,,,,
512,sgd,0.2,90.25%,0.2347,90.56%,0.2037,90.70%,0.2175,0.2126,,,,,
32,adamax,0.15,88.89%,0.2691,91.14%,0.206,90.60%,0.2256,0.1077,,,,,
128,sgd,0.2,89.25%,0.2636,90.22%,0.233,90.55%,0.2285,0.1153,,,,,
64,sgd,0.15,88.57%,0.2799,89.19%,0.283,90.55%,0.2726,0.1113,,,,,
512,sgd,0.25,90.06%,0.2401,91.05%,0.1982,90.55%,0.2161,0.2121,,,,,
256,sgd,0.25,89.21%,0.2589,91.00%,0.2208,90.50%,0.2273,0.1288,,,,,
32,adam,0.25,87.96%,0.2943,90.80%,0.2211,90.50%,0.2370,0.1052,,,,,
512,adam,0.2,90.99%,0.222,90.70%,0.2087,90.50%,0.2432,0.2109,,,,,
128,adam,0.15,91.56%,0.2026,91.05%,0.2023,90.45%,0.1955,0.1260,,,,,
64,adam,0.15,90.80%,0.2166,90.70%,0.2317,90.45%,0.2167,0.1016,,,,,
256,sgd,0.2,89.68%,0.249,90.36%,0.211,90.45%,0.2223,0.1270,,,,,
32,adamax,0.1,89.40%,0.2526,91.05%,0.2112,90.45%,0.2239,0.1037,,,,,
64,adamax,0.25,89.35%,0.2563,90.90%,0.2088,90.40%,0.2220,0.1109,,,,,
128,sgd,0.1,90.22%,0.2382,90.46%,0.2209,90.16%,0.2144,0.1266,,,,,
32,nadam,0.2,88.92%,0.2723,89.58%,0.2288,89.91%,0.2333,0.1091,,,,,
128,sgd,0.25,88.43%,0.2799,90.36%,0.2382,89.91%,0.2330,0.1143,,,,,
32,adamax,0.2,88.18%,0.297,90.07%,0.2273,89.91%,0.2424,0.1093,,,,,
512,adam,0.15,91.32%,0.2115,90.12%,0.2534,89.81%,0.2390,0.2083,,,,,
